"iso_code"	"continent"	"location"	"date"	"total_cases"	"new_cases"	"new_cases_smoothed"	"total_deaths"	"new_deaths"	"new_deaths_smoothed"	"total_cases_per_million"	"new_cases_per_million"	"new_cases_smoothed_per_million"	"total_deaths_per_million"	"new_deaths_per_million"	"new_deaths_smoothed_per_million"	"reproduction_rate"	"icu_patients"	"icu_patients_per_million"	"hosp_patients"	"hosp_patients_per_million"	"weekly_icu_admissions"	"weekly_icu_admissions_per_million"	"weekly_hosp_admissions"	"weekly_hosp_admissions_per_million"	"new_tests"	"total_tests"	"total_tests_per_thousand"	"new_tests_per_thousand"	"new_tests_smoothed"	"new_tests_smoothed_per_thousand"	"positive_rate"	"tests_per_case"	"tests_units"	"total_vaccinations"	"people_vaccinated"	"people_fully_vaccinated"	"new_vaccinations"	"new_vaccinations_smoothed"	"total_vaccinations_per_hundred"	"people_vaccinated_per_hundred"	"people_fully_vaccinated_per_hundred"	"new_vaccinations_smoothed_per_million"	"stringency_index"	"population"	"population_density"	"median_age"	"aged_65_older"	"aged_70_older"	"gdp_per_capita"	"extreme_poverty"	"cardiovasc_death_rate"	"diabetes_prevalence"	"female_smokers"	"male_smokers"	"handwashing_facilities"	"hospital_beds_per_thousand"	"life_expectancy"	"human_development_index"	"excess_mortality"
"1"	"AFG"	"Asia"	"Afghanistan"	"2021-01-31"	55023	15	61.143	2400	0	3.143	1413.443	0.385	1.571	61.652	0	0.081	0.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	12.04	38928341	54.422	18.6	2.581	1.337	1803.987	NA	597.029	9.59	NA	NA	37.746	0.5	64.83	0.511	NA
"2"	"AFG"	"Asia"	"Afghanistan"	"2021-02-28"	55714	7	15.714	2443	0	1.571	1431.194	0.18	0.404	62.756	0	0.04	0.9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	8200	8200	NA	NA	1367	0.02	0.02	NA	35	12.04	38928341	54.422	18.6	2.581	1.337	1803.987	NA	597.029	9.59	NA	NA	37.746	0.5	64.83	0.511	NA
"3"	"AFG"	"Asia"	"Afghanistan"	"2021-03-31"	56454	70	37.429	2484	8	2.571	1450.203	1.798	0.961	63.81	0.206	0.066	1.43	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	3000	NA	NA	NA	77	26.85	38928341	54.422	18.6	2.581	1.337	1803.987	NA	597.029	9.59	NA	NA	37.746	0.5	64.83	0.511	NA
"4"	"AFG"	"Asia"	"Afghanistan"	"2021-04-30"	59745	169	171.857	2625	7	8.571	1534.743	4.341	4.415	67.432	0.18	0.22	1.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	13921	NA	NA	NA	358	26.85	38928341	54.422	18.6	2.581	1.337	1803.987	NA	597.029	9.59	NA	NA	37.746	0.5	64.83	0.511	NA
"5"	"AFG"	"Asia"	"Afghanistan"	"2021-05-31"	71838	1077	794.714	2944	25	18.857	1845.391	27.666	20.415	75.626	0.642	0.484	1.51	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	5084	NA	NA	NA	131	41.67	38928341	54.422	18.6	2.581	1.337	1803.987	NA	597.029	9.59	NA	NA	37.746	0.5	64.83	0.511	NA
"6"	"AFG"	"Asia"	"Afghanistan"	"2021-06-30"	118659	1501	1528.857	4871	77	72.143	3048.139	38.558	39.274	125.127	1.978	1.853	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	886854	699200	187654	NA	15286	2.28	1.8	0.48	393	NA	38928341	54.422	18.6	2.581	1.337	1803.987	NA	597.029	9.59	NA	NA	37.746	0.5	64.83	0.511	NA
"13"	"ALB"	"Europe"	"Albania"	"2021-01-31"	78127	876	836.143	1380	11	9.286	27148.169	304.399	290.549	479.533	3.822	3.227	1.19	NA	NA	NA	NA	NA	NA	NA	NA	3144	343109	119.226	1.093	3385	1.176	0.247	4	"tests performed"	NA	NA	NA	NA	0	NA	NA	NA	0	60.19	2877800	104.871	38	13.188	8.643	11803.431	1.1	304.195	10.08	7.1	51.2	NA	2.89	78.57	0.795	21.62
"14"	"ALB"	"Europe"	"Albania"	"2021-02-28"	107167	952	988.714	1796	21	18.571	37239.211	330.808	343.566	624.088	7.297	6.453	0.91	NA	NA	NA	NA	NA	NA	NA	NA	3805	444449	154.441	1.322	3756	1.305	0.263	3.8	"tests performed"	NA	NA	NA	NA	1054	NA	NA	NA	366	60.19	2877800	104.871	38	13.188	8.643	11803.431	1.1	304.195	10.08	7.1	51.2	NA	2.89	78.57	0.795	89.25
"15"	"ALB"	"Europe"	"Albania"	"2021-03-31"	125157	434	408.857	2235	8	9.143	43490.514	150.81	142.073	776.635	2.78	3.177	0.8	NA	NA	NA	NA	NA	NA	NA	NA	2991	536585	186.457	1.039	2783	0.967	0.147	6.8	"tests performed"	138846	NA	NA	19525	12122	4.82	NA	NA	4212	60.19	2877800	104.871	38	13.188	8.643	11803.431	1.1	304.195	10.08	7.1	51.2	NA	2.89	78.57	0.795	48.53
"16"	"ALB"	"Europe"	"Albania"	"2021-04-30"	131085	108	116.429	2394	5	3.857	45550.42	37.529	40.457	831.885	1.737	1.34	0.69	NA	NA	NA	NA	NA	NA	NA	NA	2808	615752	213.966	0.976	2461	0.855	0.047	21.1	"tests performed"	476903	NA	NA	23655	12222	16.57	NA	NA	4247	54.63	2877800	104.871	38	13.188	8.643	11803.431	1.1	304.195	10.08	7.1	51.2	NA	2.89	78.57	0.795	NA
