"iso_code"	"continent"	"location"	"date"	"total_cases"	"new_cases"	"new_cases_smoothed"	"total_deaths"	"new_deaths"	"new_deaths_smoothed"	"total_cases_per_million"	"new_cases_per_million"	"new_cases_smoothed_per_million"	"total_deaths_per_million"	"new_deaths_per_million"	"new_deaths_smoothed_per_million"	"reproduction_rate"	"icu_patients"	"icu_patients_per_million"	"hosp_patients"	"hosp_patients_per_million"	"weekly_icu_admissions"	"weekly_icu_admissions_per_million"	"weekly_hosp_admissions"	"weekly_hosp_admissions_per_million"	"new_tests"	"total_tests"	"total_tests_per_thousand"	"new_tests_per_thousand"	"new_tests_smoothed"	"new_tests_smoothed_per_thousand"	"positive_rate"	"tests_per_case"	"tests_units"	"total_vaccinations"	"people_vaccinated"	"people_fully_vaccinated"	"new_vaccinations"	"new_vaccinations_smoothed"	"total_vaccinations_per_hundred"	"people_vaccinated_per_hundred"	"people_fully_vaccinated_per_hundred"	"new_vaccinations_smoothed_per_million"	"stringency_index"	"population"	"population_density"	"median_age"	"aged_65_older"	"aged_70_older"	"gdp_per_capita"	"extreme_poverty"	"cardiovasc_death_rate"	"diabetes_prevalence"	"female_smokers"	"male_smokers"	"handwashing_facilities"	"hospital_beds_per_thousand"	"life_expectancy"	"human_development_index"	"excess_mortality"
"493"	"AFG"	"Asia"	"Afghanistan"	"2021-06-30"	118659	1501	1528.857	4871	77	72.143	3048.139	38.558	39.274	125.127	1.978	1.853	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	886854	699200	187654	NA	15286	2.28	1.8	0.48	393	NA	38928341	54.422	18.6	2.581	1.337	1803.987	NA	597.029	9.59	NA	NA	37.746	0.5	64.83	0.511	NA
"1489"	"ALB"	"Europe"	"Albania"	"2021-06-30"	132521	7	3.429	2456	0	0.143	46049.413	2.432	1.191	853.43	0	0.05	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2877800	104.871	38	13.188	8.643	11803.431	1.1	304.195	10.08	7.1	51.2	NA	2.89	78.57	0.795	NA
"1981"	"DZA"	"Africa"	"Algeria"	"2021-06-30"	139626	397	368.143	3716	8	8	3184.098	9.053	8.395	84.741	0.182	0.182	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	43851043	17.348	29.1	6.211	3.857	13913.839	0.5	278.364	6.73	0.7	30.4	83.741	1.9	76.88	0.748	NA
"2467"	"AND"	"Europe"	"Andorra"	"2021-06-30"	13911	11	5.429	127	0	0	180042.71	142.367	70.259	1643.694	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	77265	163.755	NA	NA	NA	NA	NA	109.135	7.97	29	37.8	NA	NA	83.73	0.868	NA
"2935"	"AGO"	"Africa"	"Angola"	"2021-06-30"	38849	167	121	900	6	3.143	1182.033	5.081	3.682	27.384	0.183	0.096	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	32866268	23.89	16.8	2.405	1.362	5819.495	NA	276.045	3.94	NA	NA	26.664	NA	61.15	0.581	NA
"3552"	"ATG"	"North America"	"Antigua and Barbuda"	"2021-06-30"	1263	0	0	42	0	0	12897.231	0	0	428.887	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	97928	231.845	32.1	6.933	4.631	21490.943	NA	191.511	13.17	NA	NA	NA	3.8	77.02	0.778	NA
"4099"	"ARG"	"South America"	"Argentina"	"2021-06-30"	4470374	22673	20610.429	94304	636	474	98911.321	501.662	456.026	2086.567	14.072	10.488	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	20543325	16504606	4038719	321628	270934	45.45	36.52	8.94	5995	NA	45195777	16.177	31.9	11.198	7.441	18933.907	0.6	191.032	5.5	16.2	27.7	NA	5	76.67	0.845	NA
"4586"	"ARM"	"Asia"	"Armenia"	"2021-06-30"	225095	128	95	4514	0	1.571	75962.614	43.196	32.06	1523.336	0	0.53	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2963234	102.931	35.7	11.232	7.571	8787.58	1.8	341.01	7.11	1.5	52.1	94.043	4.2	75.09	0.776	NA
"4680"	"ABW"	"North America"	"Aruba"	"2021-06-30"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	126979	67750	59229	592	303	118.93	63.46	55.48	2838	NA	106766	584.8	41.2	13.085	7.452	35973.781	NA	NA	11.62	NA	NA	NA	NA	76.29	NA	NA
"5728"	"AUS"	"Oceania"	"Australia"	"2021-06-30"	30643	41	34.143	910	0	0	1201.692	1.608	1.339	35.686	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	""	7645585	6144110	1501475	144885	112187	29.98	24.09	5.89	4400	NA	25499881	3.202	37.9	15.504	10.129	44648.71	0.5	107.791	5.07	13	16.5	NA	3.84	83.44	0.944	NA
